id_ciclo;n_ciclo;id_plan
1;0;1
2;1;1
3;2;1
4;3;1
5;4;1
6;5;1
7;6;1
8;7;1
9;8;1
10;9;1
11;10;1
12;0;2
13;1;2
14;2;2
15;3;2
16;4;2
17;5;2
18;6;2
19;7;2
20;8;2
21;9;2
22;10;2
23;1;3
24;2;3
25;3;3
26;4;3
27;5;3
28;6;3
29;7;3
30;8;3
31;9;3
32;10;3
33;1;4
34;2;4
35;3;4
36;4;4
37;5;4
38;6;4
39;7;4
40;8;4
41;9;4
42;10;4
43;0;5
44;1;5
45;2;5
46;3;5
47;4;5
48;5;5
49;6;5
50;7;5
51;8;5
52;9;5
53;10;5
54;0;6
55;1;6
56;2;6
57;3;6
58;4;6
59;5;6
60;6;6
61;7;6
62;8;6
63;9;6
64;10;6
65;1;7
66;2;7
67;3;7
68;4;7
69;5;7
70;6;7
71;7;7
72;8;7
73;9;7
74;10;7
75;1;8
76;2;8
77;3;8
78;4;8
79;5;8
80;6;8
81;7;8
82;8;8
83;9;8
84;10;8
85;1;9
86;2;9
87;3;9
88;4;9
89;5;9
90;6;9
91;7;9
92;8;9
93;9;9
94;10;9
